,date,year,month,ISIN,monthly_return,market_cap,annual_returns
0,2005-01-31,2005,1,AN8068571086,0.01260288563958543,,0.4680261231602191
1,2005-02-28,2005,2,AN8068571086,0.06350200580464083,,0.4680261231602191
2,2005-03-31,2005,3,AN8068571086,0.09303852102291123,,0.4680261231602191
3,2005-04-30,2005,4,AN8068571086,-0.038401105635946196,,0.4680261231602191
4,2005-05-31,2005,5,AN8068571086,-0.027085062151919376,,0.4680261231602191
5,2005-06-30,2005,6,AN8068571086,-0.0048801934491096545,,0.4680261231602191
6,2005-07-31,2005,7,AN8068571086,0.10812052664133595,,0.4680261231602191
7,2005-08-31,2005,8,AN8068571086,0.10586016618024666,,0.4680261231602191
8,2005-09-30,2005,9,AN8068571086,0.025259317212461628,,0.4680261231602191
9,2005-10-31,2005,10,AN8068571086,-0.03708210107290185,,0.4680261231602191
10,2005-11-30,2005,11,AN8068571086,0.08953561411709715,,0.4680261231602191
11,2005-12-31,2005,12,AN8068571086,0.07755554885181726,,0.4680261231602191
12,2006-01-31,2006,1,AN8068571086,-0.006047051284842884,,0.39349676064251354
13,2006-02-28,2006,2,AN8068571086,0.26824604503419025,,0.39349676064251354
14,2006-03-31,2006,3,AN8068571086,-0.03972125779459044,,0.39349676064251354
15,2006-04-30,2006,4,AN8068571086,0.07826504810459671,,0.39349676064251354
16,2006-05-31,2006,5,AN8068571086,0.11783112373662154,,0.39349676064251354
17,2006-06-30,2006,6,AN8068571086,-0.08362612247682559,,0.39349676064251354
18,2006-07-31,2006,7,AN8068571086,0.004280792039587936,,0.39349676064251354
19,2006-08-31,2006,8,AN8068571086,0.022494191124176822,,0.39349676064251354
20,2006-09-30,2006,9,AN8068571086,-0.07265897407431747,,0.39349676064251354
21,2006-10-31,2006,10,AN8068571086,-0.015037612354540767,,0.39349676064251354
22,2006-11-30,2006,11,AN8068571086,0.0272527483430568,,0.39349676064251354
23,2006-12-31,2006,12,AN8068571086,0.09221783024540066,,0.39349676064251354
24,2007-01-31,2007,1,AN8068571086,-0.07412287489222465,74825700000.0,0.3599961070445802
25,2007-02-28,2007,2,AN8068571086,0.019474596587408723,74012500000.0,0.3599961070445802
26,2007-03-31,2007,3,AN8068571086,-0.012343134453505922,81437400000.0,0.3599961070445802
27,2007-04-30,2007,4,AN8068571086,0.11668342471210942,87013400000.0,0.3599961070445802
28,2007-05-31,2007,5,AN8068571086,0.04250231475582519,91774800000.0,0.3599961070445802
29,2007-06-30,2007,6,AN8068571086,0.05905407552566064,100107000000.0,0.3599961070445802
30,2007-07-31,2007,7,AN8068571086,0.11177427793250952,112912000000.0,0.3599961070445802
31,2007-08-31,2007,8,AN8068571086,0.09084665064609951,115034000000.0,0.3599961070445802
32,2007-09-30,2007,9,AN8068571086,0.02171868482530996,125167000000.0,0.3599961070445802
33,2007-10-31,2007,10,AN8068571086,0.10455891004655306,115485000000.0,0.3599961070445802
34,2007-11-30,2007,11,AN8068571086,-0.09794552601364026,111754000000.0,0.3599961070445802
35,2007-12-31,2007,12,AN8068571086,-0.02220529262752499,117637000000.0,0.3599961070445802
36,2008-01-31,2008,1,AN8068571086,0.04827435665791928,90307400000.0,-0.6289955555357704
37,2008-02-29,2008,2,AN8068571086,-0.204228788042297,103542000000.0,-0.6289955555357704
38,2008-03-31,2008,3,AN8068571086,0.11391396859534766,103799000000.0,-0.6289955555357704
39,2008-04-30,2008,4,AN8068571086,0.0259828221532151,119965000000.0,-0.6289955555357704
40,2008-05-31,2008,5,AN8068571086,0.10208474695243215,120657000000.0,-0.6289955555357704
41,2008-06-30,2008,6,AN8068571086,0.021556561140867625,128873000000.0,-0.6289955555357704
42,2008-07-31,2008,7,AN8068571086,0.09575101351903004,121879000000.0,-0.6289955555357704
43,2008-08-31,2008,8,AN8068571086,-0.08793123302332191,113026000000.0,-0.6289955555357704
44,2008-09-30,2008,9,AN8068571086,-0.057584305127896675,93408800000.0,-0.6289955555357704
45,2008-10-31,2008,10,AN8068571086,-0.18414395614614382,61782100000.0,-0.6289955555357704
46,2008-11-30,2008,11,AN8068571086,-0.35306401976674767,60693600000.0,-0.6289955555357704
47,2008-12-31,2008,12,AN8068571086,-0.14960672244817516,50633800000.0,-0.6289955555357704
